v1Performance,v2Economic,v3Brand,v4Environment,v5Technology,v6Buy,EcoCar,1.귀하의 성별은 어떻게 되십니까?,2. 귀하의 연령대는 어떻게 되십니까?,3. 귀하의 교육 수준은? ,4. 귀하의 직업은?,5. 귀하의 월수입은? ,6. 귀하의 자동차 운전 경험은? 
0.2783701508439809,-0.3333995455992643,0.9067399502669258,0.5508375114149785,0.4032723828600322,1.3131205403996793,1,1,2,4,1,3,1
0.9876509735612065,-0.24219709179127902,1.2018954329737328,1.1795270093924646,1.2249955211638894,0.9792176071276305,1,1,6,5,3,4,2
-1.1838702677545232,-2.4055671076457763,-0.09183381974845511,-2.0430415790285736,-2.8510264413546875,-0.6041087955849386,0,2,4,5,3,5,1
0.5222902432461008,1.243825147380461,1.5260365738500694,-0.11741253582931142,-0.021803086198324873,1.7793769625607236,0,1,4,5,3,3,1
-0.039207950620192944,0.16154332346752204,-0.4456660262019071,0.5508375114149785,0.37484458304717544,-0.07167562897939626,1,2,3,5,3,3,1
-0.01403941002633605,-0.3333995455992643,0.2033216629583517,-0.11741253582931142,-0.3574292266302588,-0.5379320511404408,1,1,3,5,1,1,1
-1.0894035109479623,-1.4144877375408227,0.2033216629583517,-0.15697308509611516,-0.08282461501189124,-0.1378523734238941,1,2,5,5,6,3,1
-0.4404455619139744,-0.919544868474036,-1.1193932479333657,-0.7856625830736015,-1.2686016935605393,-0.07167562897939626,1,2,3,5,3,4,1
0.7588337689242043,0.25274577727550745,1.5260365738500694,1.1795270093924646,1.2249955211638894,1.7793769625607236,1,2,5,5,3,4,1
0.5222902432461008,1.243825147380461,1.5260365738500694,1.1795270093924646,1.2249955211638894,0.3284040487371504,1,2,4,5,3,3,1
0.1220630819183772,-1.4144877375408227,-0.38698930245526186,-1.4539126303178906,-2.515400300922754,-0.7224891873698764,0,2,5,5,3,3,1
-0.11448044375972628,-0.3333995455992643,-0.7952521070570294,-0.11741253582931142,-0.8435262245021823,0.3284040487371504,0,2,5,5,3,4,1
-1.1497263846312,-1.4144877375408227,-0.44141990060357733,-0.11741253582931142,-0.021803086198324873,-1.1225688650864232,1,2,4,5,6,3,1
0.2783701508439809,0.16273695543890265,0.4645399544897137,1.1795270093924646,1.2249955211638894,-0.7886659318143744,1,2,2,4,1,3,2
0.5222902432461008,-0.3333995455992643,1.5260365738500694,1.1795270093924646,0.7388985232919661,0.3284040487371504,1,2,2,5,3,3,1
0.0821275848366845,1.243825147380461,-1.1193932479333657,1.1795270093924646,0.8893693807319556,1.3131205403996793,1,2,2,3,3,3,1
0.8472744427461236,-0.3333995455992643,1.5260365738500694,0.5112769621481748,0.8893693807319556,0.9130408626831328,1,2,4,5,6,4,1
0.48119116454172317,1.243825147380461,1.5260365738500694,1.1795270093924646,1.2249955211638894,1.7793769625607236,0,1,1,3,6,2,1
-0.9932365160849417,-1.4144877375408227,-0.09183381974845511,-2.7508521755396678,-3.7621989082849683,0.3284040487371504,0,2,3,3,3,2,1
0.24926350265703603,1.243825147380461,-1.1193932479333657,1.1795270093924646,-0.2964076978166924,0.04670476280554161,1,2,2,3,3,3,1
0.35842380797582596,0.16273695543890265,0.2619983867049968,-0.7856625830736015,-0.3574292266302588,0.44678444052208827,1,1,2,2,1,3,1
0.9876509735612065,1.243825147380461,1.5260365738500694,1.1795270093924646,1.2249955211638894,1.7793769625607236,1,2,5,3,3,3,1
