time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
13:47:05:143,6.1222,2.7644,-0.9231,6.780
13:47:05:157,4.2238,1.9624,-0.2263,4.663
13:47:05:163,2.9369,1.9540,0.0710,3.528
13:47:05:174,1.5538,1.5541,0.1803,2.205
13:47:05:183,0.7716,1.2569,0.4103,1.531
13:47:05:197,-0.0939,1.2524,0.3246,1.297
13:47:05:203,-0.0752,1.2586,0.0220,1.261
13:47:05:213,0.3703,0.9398,-0.6666,1.210
13:47:05:225,0.7227,0.4152,-1.0444,1.336
13:47:05:238,0.6072,-0.6961,-1.1440,1.470
13:47:05:243,0.5930,-1.0967,-1.1161,1.673
13:47:05:253,0.4011,-1.6834,-1.0195,2.008
13:47:05:263,-0.0169,-1.8841,-1.1233,2.194
13:47:05:277,-0.6539,-2.1140,-1.0797,2.462
13:47:05:283,-0.6961,-2.2689,-0.7356,2.485
13:47:05:294,-1.2806,-2.4125,-0.3283,2.751
13:47:05:303,-2.0057,-2.5612,-0.2243,3.261
13:47:05:317,-2.7446,-2.4742,-0.4081,3.718
13:47:05:325,-2.7791,-2.7527,-0.4339,3.936
13:47:05:333,-2.5035,-3.5671,-0.8437,4.439
13:47:05:342,-2.1202,-4.1111,-1.0026,4.733
13:47:05:359,-1.4687,-4.0311,-1.2808,4.477
13:47:05:364,-1.1870,-3.9583,-1.2461,4.316
13:47:05:374,-1.0850,-4.2508,-0.8806,4.475
13:47:05:383,-0.9633,-3.7084,-0.5118,3.865
13:47:05:396,-0.3474,-2.3523,-0.6070,2.454
13:47:05:402,-0.0228,-1.8834,-0.7329,2.021
13:47:05:413,0.4417,-1.7962,-1.0958,2.150
13:47:05:422,0.3922,-2.0416,-1.0689,2.338
13:47:05:439,-0.3434,-3.0305,-0.3396,3.069
13:47:05:442,-0.7333,-2.9069,0.1231,3.000
13:47:05:453,-1.6164,-2.6222,0.6206,3.142
13:47:05:463,-1.7387,-1.8213,0.8150,2.647
13:47:05:478,-2.1498,-1.5737,1.6856,3.153
13:47:05:483,-2.0277,-0.6722,1.9533,2.895
13:47:05:493,-0.6946,0.3269,0.8317,1.132
13:47:05:503,-0.2218,0.6545,-0.2703,0.742
13:47:05:517,-0.0763,2.0925,-1.3363,2.484
13:47:05:527,0.1716,1.8606,-1.2549,2.251
13:47:05:533,0.9553,0.8884,-0.8006,1.531
13:47:05:549,1.4930,-0.3148,-0.4601,1.594
13:47:05:558,1.5545,-1.5119,-0.0437,2.169
13:47:05:562,1.7077,-1.6630,0.0268,2.384
13:47:05:574,0.9282,-1.0932,0.8536,1.669
13:47:05:582,-0.0556,-0.5607,-0.0730,0.568
13:47:05:597,-1.0612,4.2130,-1.3584,4.552
13:47:05:603,0.2302,5.3828,-3.0920,6.212
13:47:05:613,2.0682,4.8168,-4.2465,6.746
13:47:05:626,2.6404,2.5258,-3.5167,5.071
13:47:05:638,3.2473,1.4623,-1.6129,3.910
13:47:05:645,3.3519,1.5659,-0.8873,3.805
13:47:05:653,3.4210,1.5206,-0.9404,3.860
13:47:05:662,2.3738,1.3008,-0.5262,2.758
13:47:05:678,1.6120,0.5140,-0.8559,1.896
13:47:05:682,1.2218,0.5865,-0.7837,1.566
13:47:05:693,0.4393,0.7154,-0.6605,1.068
13:47:05:703,0.7169,0.5442,0.3126,0.953
13:47:05:718,-0.1497,-0.0707,0.8529,0.869
13:47:05:724,0.4041,-0.0118,0.7510,0.853
13:47:05:733,-0.2826,0.3015,-0.3759,0.559
13:47:05:745,3.1381,-3.3652,0.5007,4.629
13:47:05:758,0.3177,-2.6517,1.8931,3.274
13:47:05:762,0.1509,-2.2479,3.7510,4.376
13:47:05:775,-1.8211,-6.3580,5.4971,8.600
13:47:05:783,-1.4656,-7.2384,3.7814,8.297
13:47:05:797,-1.7955,-7.7551,1.2319,8.055
13:47:05:803,-1.3580,-7.8949,0.6254,8.035
13:47:05:813,-1.5619,-8.3612,-0.1399,8.507
13:47:05:826,-1.3767,-8.5563,-0.6639,8.692
13:47:05:839,-1.5453,-8.9896,-1.2657,9.209
13:47:05:845,-1.4927,-9.0924,-1.5713,9.347
13:47:05:852,-0.8779,-9.1751,-1.5210,9.342
13:47:05:862,-0.8257,-9.2666,-1.5223,9.427
13:47:05:877,-0.8977,-9.0883,-2.3957,9.442
13:47:05:883,1.4046,-4.2972,-2.1588,5.010
13:47:05:893,16.4962,29.1543,-6.7740,34.176
13:47:05:903,29.1368,61.4925,-22.5436,71.683
13:47:05:919,5.3788,1.2121,-3.6769,6.627
13:47:05:926,2.0743,-9.7374,-0.2843,9.960
13:47:05:933,-2.1356,-12.2577,3.0111,12.802
13:47:05:944,-4.1975,-8.7591,3.7239,10.402
13:47:05:958,-24.4601,-5.3933,-2.3751,25.160
13:47:05:962,-37.0842,-3.6419,-2.8828,37.374
13:47:05:974,-19.4581,-7.6550,-1.3884,20.956
13:47:05:982,-3.4912,-8.5520,0.2032,9.239
13:47:05:997,2.3504,-5.6431,3.0535,6.833
13:47:06:003,2.1431,-4.3600,3.6954,6.104
13:47:06:013,1.1202,-0.6512,4.8621,5.032
13:47:06:027,-1.3466,3.6404,4.9117,6.260
13:47:06:040,-2.6282,4.6838,2.4541,5.905
13:47:06:043,-2.2886,2.3085,0.5965,3.305
13:47:06:052,-2.1327,-1.3196,-1.2594,2.806
13:47:06:063,-2.0715,-3.2272,-1.9975,4.324
13:47:06:077,-1.5996,-2.7744,-2.0985,3.829
13:47:06:082,-1.1955,-2.0429,-1.9403,3.061
13:47:06:093,-0.2170,-0.5231,-1.2372,1.361
13:47:06:104,0.8919,0.4141,0.0685,0.986
13:47:06:117,2.0938,0.7356,2.3443,3.228
13:47:06:123,2.4308,0.6087,2.9740,3.889
13:47:06:134,2.6679,0.3184,3.1679,4.154
13:47:06:143,2.6793,0.1120,2.5201,3.680
13:47:06:157,2.1425,0.3801,0.9229,2.364
13:47:06:162,1.7719,0.4879,0.3773,1.876
13:47:06:172,1.2716,0.4507,-0.2874,1.379
13:47:06:184,0.8888,0.1833,-0.5715,1.072
13:47:06:197,0.4998,-0.1489,-0.6497,0.833
13:47:06:203,0.3540,-0.2104,-0.5268,0.669
13:47:06:213,0.2054,-0.2113,-0.1089,0.314
13:47:06:224,0.0018,-0.4014,0.9364,1.019
13:47:06:238,-0.0568,-0.6516,2.6732,2.752
13:47:06:243,-0.1178,-0.7843,3.3378,3.431
13:47:06:254,-0.4301,-1.3401,4.1519,4.384
13:47:06:262,-1.1556,-1.9019,4.1517,4.711
13:47:06:277,-2.0630,-0.9184,2.9400,3.707
13:47:06:283,-2.4821,-0.1768,2.1709,3.302
13:47:06:293,-2.8366,1.1091,0.4277,3.076
13:47:06:304,-2.4271,1.8050,-1.2187,3.261
13:47:06:317,-1.9116,1.3439,-2.4819,3.409
13:47:06:324,-1.6737,0.9144,-2.5663,3.197
13:47:06:333,-1.0405,-0.2368,-2.5580,2.772
13:47:06:342,-0.4346,-1.0486,-2.3079,2.572
13:47:06:357,-0.0716,-0.6833,-0.4556,0.824
13:47:06:363,0.0699,-0.2879,0.3614,0.467
13:47:06:374,0.3643,0.2794,0.7095,0.845
13:47:06:382,0.6373,0.2849,0.2815,0.753
13:47:06:397,0.8328,0.0569,-0.2510,0.872
13:47:06:403,0.9421,-0.0399,-0.2683,0.980
13:47:06:413,0.9350,-0.0441,-0.2443,0.967
13:47:06:428,1.2281,-0.3939,-0.3138,1.327
13:47:06:439,1.3800,-0.3004,-0.2978,1.443
13:47:06:442,1.3818,-0.2097,-0.2539,1.420
13:47:06:454,1.2457,0.2581,-0.1586,1.282
13:47:06:462,1.2286,0.8535,-0.1246,1.501
13:47:06:477,1.3864,1.5712,0.1826,2.103
13:47:06:483,1.5066,1.8132,0.3180,2.379
13:47:06:493,1.9371,1.9369,0.6039,2.805
13:47:06:503,2.6294,1.6271,0.9795,3.244
13:47:06:518,3.6022,0.7685,2.2391,4.310
13:47:06:524,3.7828,0.6001,2.8209,4.757
13:47:06:535,3.9060,0.6633,2.9337,4.930
13:47:06:544,3.5156,0.8710,1.9396,4.109
13:47:06:558,2.8454,0.4835,0.5936,2.947
13:47:06:562,2.7137,0.1469,0.3620,2.742
13:47:06:575,2.6590,-0.2457,0.1405,2.674
13:47:06:583,2.6709,-0.3761,0.0363,2.698
13:47:06:596,2.4759,-0.3750,0.3130,2.524
13:47:06:603,2.1739,-0.4099,0.5697,2.284
13:47:06:613,1.5247,-0.5737,0.9577,1.890
13:47:06:625,1.1365,-0.6819,1.2462,1.819
13:47:06:638,0.8476,-0.5961,1.3363,1.691
13:47:06:642,0.6993,-0.5142,1.3019,1.565
13:47:06:654,0.4980,-0.3898,1.2387,1.391
13:47:06:663,0.3224,-0.2891,1.1632,1.241
13:47:06:677,0.1554,-0.1685,1.1205,1.144
13:47:06:683,0.0782,-0.1566,1.0964,1.110
13:47:06:693,-0.1173,-0.0829,1.0623,1.072
13:47:06:705,-0.3713,-0.1240,0.9800,1.055
13:47:06:717,-0.5643,-0.2513,0.8583,1.057
13:47:06:726,-0.5960,-0.2724,0.8363,1.063
13:47:06:733,-0.4764,-0.3211,0.7395,0.936
13:47:06:742,-0.2110,-0.4097,0.7057,0.843
13:47:06:757,0.0376,-0.1745,0.6834,0.706
13:47:06:762,0.0346,-0.1753,0.6838,0.707
13:47:06:773,0.0367,-0.1102,0.6759,0.686
13:47:06:782,0.1872,0.2596,0.8108,0.872
13:47:06:797,0.3632,0.4544,0.9434,1.108
13:47:06:803,0.4649,0.4980,0.9937,1.205
13:47:06:813,0.6261,0.7114,1.0905,1.445
13:47:06:825,0.6431,0.8937,1.1308,1.578
13:47:06:839,0.7615,1.2586,1.0402,1.802
