성별,졸업시기,급여,안정성,직무내용,근로시간,발전가능성,승진제도,직장만족도,전공적합도,이직
0,0,200,4,4,5,2,1,3,4,1
0,0,200,3,3,3,3,3,3,1,0
0,0,380,4,4,4,4,4,4,5,0
0,0,400,5,1,1,1,1,5,2,0
0,0,250,2,3,2,3,1,3,3,0
0,0,260,5,5,5,5,5,3,3,0
0,0,200,4,4,4,4,3,4,4,0
0,0,250,4,4,4,4,4,4,3,1
0,0,240,4,4,4,4,4,4,3,0
0,0,250,4,4,3,4,3,4,3,0
0,0,200,3,3,3,3,3,3,3,0
0,0,200,4,4,4,2,2,4,4,0
0,0,230,5,5,5,5,5,5,4,0
0,0,265,5,5,4,5,4,4,4,0
0,0,200,4,3,3,3,4,3,3,0
0,0,220,3,3,4,4,2,4,1,0
0,0,200,4,4,4,3,4,4,1,0
0,0,333,4,4,4,4,4,4,1,0
0,0,330,4,3,2,5,4,4,1,0
0,0,230,3,1,2,2,3,1,1,0
0,0,250,5,5,5,5,5,5,4,0
0,0,340,5,5,5,4,5,4,1,0
0,0,220,5,4,5,4,5,4,4,0
0,0,170,4,3,4,4,4,3,3,0
0,0,220,4,3,3,2,2,3,4,1
0,0,210,5,4,5,5,4,4,4,0
1,0,180,4,4,4,4,4,5,3,0
0,0,170,5,4,4,3,4,5,1,0
0,0,416,4,4,4,3,4,3,4,0
0,0,425,3,2,2,1,3,2,1,1
0,0,180,3,3,4,3,1,3,1,1
0,0,200,3,3,4,3,3,3,2,0
0,0,191,4,2,3,2,3,3,4,1
0,0,216,4,4,4,4,3,4,4,0
0,0,170,4,5,5,5,4,4,4,0
0,0,256,4,4,5,4,4,4,3,0
1,0,175,4,3,4,3,3,3,4,0
0,0,400,3,4,4,4,4,3,4,0
0,0,225,4,3,4,4,2,4,4,0
0,0,250,5,5,5,5,4,5,5,0
0,0,350,3,3,3,3,3,3,4,0
0,0,191,3,3,4,4,4,3,3,0
0,0,220,4,5,4,4,3,4,4,0
0,0,350,5,4,4,4,3,4,4,0
0,0,220,4,4,4,4,4,4,3,0
0,0,200,5,4,4,5,4,4,3,0
0,0,176,3,3,4,4,4,3,1,0
0,0,180,4,4,3,4,3,4,3,0
1,0,180,4,2,4,4,4,3,3,0
0,0,240,4,4,4,4,4,4,4,0
0,0,416,4,4,4,4,4,4,4,0
