82.1,0.654,1.848,74.5,19.2,67,27.3,1
80.8,0.643,1.568,76.2,19.2,77,23.8,0
81.2,0.6459999999999999,1.794,76.2,19.2,76,27.3,1
85.6,0.604,1.6540000000000001,77.2,18.0,67,18.5,1
92.5,0.606,1.676,77.6,18.0,60,24.0,0
84.6,0.473,1.6369999999999998,29.3,18.0,63,27.2,1
85.7,0.605,1.607,25.4,18.1,58,34.4,1
80.9,0.6,1.537,71.9,18.1,61,13.5,1
85.3,0.595,1.6380000000000001,78.7,18.2,77,18.4,1
80.9,0.6409999999999999,1.8780000000000001,78.1,19.2,71,24.8,0
81.2,0.65,1.607,77.6,20.2,68,23.3,0
82.3,0.705,1.597,75.0,19.8,69,23.1,0
80.8,0.6609999999999999,1.656,75.5,19.2,78,24.4,0
80.7,0.66,1.5719999999999998,74.6,19.2,74,20.5,1
81.6,0.499,1.479,30.1,19.2,66,27.2,1
82.5,0.593,1.588,75.8,20.2,68,20.5,1
85.4,0.598,1.6369999999999998,77.5,18.2,59,21.5,0
81.8,0.633,1.6580000000000001,75.1,19.2,63,19.5,1
86.7,0.6,1.676,77.8,18.1,64,20.6,1
85.3,0.594,1.63,77.7,18.1,60,22.1,0
80.8,0.659,1.67,75.8,19.3,67,21.2,0
82.0,0.728,1.7530000000000001,74.6,19.7,70,27.1,1
86.1,0.608,1.659,78.9,18.1,62,21.7,0
82.9,0.639,1.584,78.1,20.7,73,21.0,0
80.8,0.6509999999999999,1.489,74.2,19.2,81,18.7,1
82.1,0.667,1.733,75.2,19.2,72,27.3,1
81.0,0.6559999999999999,1.736,76.9,20.2,72,25.5,0
87.6,0.606,1.63,77.4,18.2,65,30.5,1
82.0,0.645,1.5659999999999998,76.9,19.8,69,21.4,0
81.0,0.657,1.63,75.1,19.2,72,27.4,1
81.5,0.669,1.676,77.0,19.2,71,27.3,1
80.9,0.644,1.551,74.0,19.8,74,23.0,0
86.3,0.608,1.675,78.3,18.2,57,25.2,0
82.1,0.6609999999999999,1.607,75.1,19.2,71,25.4,0
85.3,0.588,1.5290000000000001,77.2,18.1,65,13.5,1
85.8,0.556,1.631,78.8,18.2,58,27.1,1
81.7,0.47100000000000003,1.751,30.4,20.3,77,34.8,1
82.6,0.602,1.575,75.9,20.2,67,20.0,1
81.2,0.659,1.54,76.5,19.2,77,24.6,0
80.9,0.662,1.581,77.0,19.2,69,22.8,0
91.0,0.598,1.695,79.5,18.1,56,20.5,1
85.3,0.595,1.676,79.7,18.1,57,20.5,1
80.7,0.654,1.514,74.4,19.2,74,20.8,1
85.5,0.586,1.662,78.2,18.2,57,22.3,0
82.5,0.597,1.574,75.6,20.2,73,23.9,0
82.7,0.498,1.689,29.3,20.1,72,34.4,1
85.9,0.607,1.74,79.5,18.2,59,18.4,1
81.9,0.637,1.6480000000000001,75.5,19.3,67,23.3,0
81.2,0.597,1.5119999999999998,73.1,18.2,54,24.2,0
85.5,0.597,1.626,78.0,18.2,62,24.5,0
85.5,0.606,1.6230000000000002,78.1,18.1,63,16.5,1
82.0,0.659,1.739,73.4,19.2,65,28.1,1
